"","Nimba","RiverCess","RiverGee","Sinoe","Bomi","Bong","Gbarpolu","GrandCapeMount","GrandBassa","GrandGedeh","GrandKru","Lofa","Margibi","Maryland","Montserrado","Boffa","Boke","Fria","Conakry","Dabola","Dinguiraye","Faranah","Kissidougou","Kankan","Kerouane","Kouroussa","Siguiri","Coyah","Dubreka","Forecariah","Kindia","Telimele","Mali","Tougue","Dalaba","Pita","Beyla","Gueckedou","Lola","Macenta","Nzerekore","Yamou","Kailahun","Kenema","Kono","Bombali","Kambia","Koinadugu","PortLoko","Tonkolili","Bo","Bonthe","Moyamba","Pujehun","WesternRural","WesternUrban"
"Nimba",1,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209,-1.0710026209
"RiverCess",-1.53383854724,1,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724,-1.53383854724
"RiverGee",-0.440765089425,-1.70551660182,1,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425,-0.440765089425
"Sinoe",-1.02184931642,-1.22706362839,-0.757008565111,1,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182,-1.70551660182
"Bomi",-0.770757390957,-1.15062206384,-0.567964701157,-0.361529774116,1,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642,-1.02184931642
"Bong",-0.986967475578,-0.872330311551,-0.215725088015,-1.04012584782,1.26801353888,1,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839,-1.22706362839
"Gbarpolu",0.686019169509,1.05515822119,0.224758372013,1.57452717854,1.86669646505,1.1899402123,1,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111,-0.757008565111
"GrandCapeMount",0.759991500829,1.03142952468,0.219771266577,1.39757509655,1.63909634285,0.803626662492,0.843949749641,1,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957,-0.770757390957
"GrandBassa",1.27718282265,0.78245858208,1.07236076855,1.7765123728,1.71640012344,0.998658679573,0.961271560431,-0.114719741637,1,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384,-1.15062206384
"GrandGedeh",0.203529039395,-0.447641210281,-0.815463505689,-0.559508415941,-1.85470418039,-0.720660006067,-0.722437350265,-0.264810268432,0.435020541378,1,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157,-0.567964701157
